流水號,日期,縣市,區別,里別,調查種類,調查戶數,陽性戶數,調查積水容器數戶內,調查積水容器數戶外,調查積水容器數合計,陽性容器數戶內,陽性容器數戶外,陽性容器數合計,布氏指數,布氏級數,容器指數,容器級數
1,20250501,臺北市,萬華區,雙園里,住宅,50,0,0,79,79,0,0,0,0,0,0,0
2,20250501,臺北市,內湖區,東湖里,住宅,122,4,0,15,15,0,4,4,3,1,27,6
3,20250502,臺北市,中正區,龍光里,菜園,1,0,0,5,5,0,0,0,0,0,0,0
4,20250502,臺北市,中正區,南福里,菜園,1,0,0,1,1,0,0,0,0,0,0,0
5,20250502,臺北市,萬華區,糖廍里,住宅,50,0,0,83,83,0,0,0,0,0,0,0
6,20250502,臺北市,內湖區,葫洲里,住宅,151,0,0,27,27,0,0,0,0,0,0,0
7,20250502,臺北市,大安區,通化里,住宅,60,1,0,11,11,0,1,1,2,1,9,3
8,20250502,臺北市,信義區,六合里,住宅,125,0,0,21,21,0,0,0,0,0,0,0
9,20250502,臺北市,文山區,景美里,住宅,43,1,0,11,11,0,1,1,2,1,9,3
10,20250502,臺北市,中正區,黎明里,菜園,1,0,0,1,1,0,0,0,0,0,0,0
11,20250503,臺北市,松山區,三民里,住宅,70,0,0,4,4,0,0,0,0,0,0,0
12,20250505,臺北市,大安區,光明里,住宅,68,2,0,11,11,0,2,2,3,1,18,5
13,20250505,臺北市,松山區,新東里,學校,1,0,0,7,7,0,0,0,0,0,0,0
14,20250505,臺北市,松山區,新東里,菜園,1,0,0,14,14,0,0,0,0,0,0,0
15,20250505,臺北市,大安區,黎孝里,住宅,60,0,0,6,6,0,0,0,0,0,0,0
16,20250505,臺北市,中正區,幸市里,住宅,50,0,0,2,2,0,0,0,0,0,0,0
17,20250505,臺北市,中正區,三愛里,住宅,50,0,0,2,2,0,0,0,0,0,0,0
18,20250505,臺北市,松山區,東榮里,住宅,58,0,0,10,10,0,0,0,0,0,0,0
19,20250505,臺北市,士林區,社園里,住宅,52,0,0,4,4,0,0,0,0,0,0,0
20,20250505,臺北市,士林區,芝山里,住宅,60,0,0,6,6,0,0,0,0,0,0,0
21,20250505,臺北市,士林區,東山里,住宅,60,0,0,0,0,0,0,0,0,0,0,0
22,20250505,臺北市,萬華區,和平里,住宅,50,0,0,78,78,0,0,0,0,0,0,0
23,20250505,臺北市,士林區,福安里,菜園,1,0,0,56,56,0,0,0,0,0,0,0
24,20250505,臺北市,松山區,富錦里,住宅,66,0,0,13,13,0,0,0,0,0,0,0
25,20250505,臺北市,萬華區,綠堤里,住宅,50,0,0,71,71,0,0,0,0,0,0,0
26,20250505,臺北市,士林區,永倫里,住宅,60,0,0,18,18,0,0,0,0,0,0,0
27,20250505,臺北市,中正區,文祥里,住宅,50,0,0,7,7,0,0,0,0,0,0,0
28,20250505,臺北市,中正區,新營里,住宅,50,0,0,3,3,0,0,0,0,0,0,0
29,20250505,臺北市,中山區,晴光里,住宅,70,0,0,23,23,0,0,0,0,0,0,0
30,20250505,臺北市,大安區,車層里,住宅,72,2,0,18,18,0,2,2,3,1,11,4
31,20250506,臺北市,大安區,義安里,住宅,108,2,0,5,5,0,2,2,2,1,40,8
32,20250506,臺北市,中正區,永功里,住宅,50,1,0,6,6,0,1,1,2,1,17,5
33,20250506,臺北市,中正區,永昌里,住宅,50,0,0,3,3,0,0,0,0,0,0,0
34,20250506,臺北市,中山區,正義里,住宅,70,2,0,41,41,0,2,2,3,1,5,2
35,20250506,臺北市,內湖區,麗山里,住宅,118,0,0,0,0,0,0,0,0,0,0,0
36,20250506,臺北市,內湖區,港都里,住宅,84,2,0,23,23,0,2,2,2,1,9,3
37,20250506,臺北市,文山區,樟林里,住宅,63,0,0,6,6,0,0,0,0,0,0,0
38,20250506,臺北市,中正區,龍福里,住宅,50,0,0,8,8,0,0,0,0,0,0,0
39,20250506,臺北市,大安區,永康里,住宅,60,3,0,22,22,0,4,4,7,2,18,5
40,20250506,臺北市,士林區,忠誠里,住宅,72,0,0,0,0,0,0,0,0,0,0,0
41,20250506,臺北市,松山區,東昌里,住宅,62,0,0,12,12,0,0,0,0,0,0,0
42,20250506,臺北市,士林區,福林里,學校,1,0,0,7,7,0,0,0,0,0,0,0
43,20250506,臺北市,中正區,螢雪里,住宅,50,0,0,3,3,0,0,0,0,0,0,0
44,20250506,臺北市,士林區,名山里,住宅,72,0,0,1,1,0,0,0,0,0,0,0
45,20250506,臺北市,士林區,菁山里,住宅,50,0,0,13,13,0,0,0,0,0,0,0
46,20250506,臺北市,文山區,指南里,住宅,15,0,0,3,3,0,0,0,0,0,0,0
47,20250506,臺北市,松山區,介壽里,住宅,55,0,0,7,7,0,0,0,0,0,0,0
48,20250506,臺北市,信義區,中興里,住宅,84,0,0,1,1,0,0,0,0,0,0,0
49,20250506,臺北市,大同區,建功里,住宅,37,0,0,0,0,0,0,0,0,0,0,0
50,20250506,臺北市,大安區,華聲里,住宅,96,2,0,10,10,0,3,3,3,1,30,7
51,20250506,臺北市,大安區,古莊里,住宅,72,1,0,6,6,0,3,3,4,1,50,9
52,20250507,臺北市,文山區,景行里,住宅,120,0,0,20,20,0,0,0,0,0,0,0
53,20250507,臺北市,士林區,福林里,學校,1,0,0,28,28,0,0,0,0,0,0,0
54,20250507,臺北市,士林區,福安里,菜園,1,0,0,5,5,0,0,0,0,0,0,0
55,20250507,臺北市,信義區,西村里,住宅,121,1,0,10,10,0,1,1,1,1,10,4
56,20250507,臺北市,南港區,東新里,住宅,80,2,0,17,17,0,2,2,2,1,12,4
57,20250507,臺北市,文山區,景行里,市場,70,0,0,20,20,0,0,0,0,0,0,0
58,20250508,臺北市,士林區,蘭雅里,住宅,33,0,0,8,8,0,0,0,0,0,0,0
59,20250508,臺北市,文山區,景東里,住宅,60,1,0,6,6,0,1,1,2,1,17,5
60,20250508,臺北市,中山區,永安里,住宅,70,0,0,20,20,0,0,0,0,0,0,0
61,20250508,臺北市,南港區,中南里,住宅,15,0,0,1,1,0,0,0,0,0,0,0
62,20250508,臺北市,大安區,建安里,住宅,72,1,0,22,22,0,1,1,1,1,5,2
63,20250508,臺北市,大安區,通化里,住宅,60,4,0,45,45,0,6,6,10,3,13,4
64,20250508,臺北市,士林區,臨溪里,住宅,51,0,0,8,8,0,0,0,0,0,0,0
65,20250508,臺北市,士林區,承德里,住宅,72,0,0,4,4,0,0,0,0,0,0,0
66,20250508,臺北市,士林區,前港里,住宅,72,0,0,5,5,0,0,0,0,0,0,0
67,20250508,臺北市,士林區,天福里,住宅,60,0,0,22,22,0,0,0,0,0,0,0
68,20250508,臺北市,士林區,三玉里,住宅,60,0,0,7,7,0,0,0,0,0,0,0
69,20250508,臺北市,士林區,翠山里,住宅,51,0,0,9,9,0,0,0,0,0,0,0
70,20250508,臺北市,大同區,揚雅里,住宅,50,0,3,9,12,0,0,0,0,0,0,0
71,20250508,臺北市,內湖區,紫陽里,住宅,88,0,0,22,22,0,0,0,0,0,0,0
