流水號,日期,縣市,區別,里別,調查種類,調查戶數,陽性戶數,調查積水容器數戶內,調查積水容器數戶外,調查積水容器數合計,陽性容器數戶內,陽性容器數戶外,陽性容器數合計,布氏指數,布氏級數,容器指數,容器級數
1,20250901,臺北市,大安區,黎孝里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
2,20250901,臺北市,中山區,中山里,住宅,47,0,0,8,8,0,0,0,0,0,0,0
3,20250901,臺北市,中山區,中山里,住宅,23,0,0,3,3,0,0,0,0,0,0,0
4,20250901,臺北市,大安區,敦煌里,菜園,1,1,0,3,3,0,1,1,100,8,33,8
5,20250901,臺北市,大安區,黎元里,公園,1,0,0,2,2,0,0,0,0,0,0,0
6,20250901,臺北市,大同區,保安里,住宅,65,0,0,0,0,0,0,0,0,0,0,0
7,20250901,臺北市,大安區,黎和里,公園,1,0,0,1,1,0,0,0,0,0,0,0
8,20250901,臺北市,大同區,保安里,住宅,50,0,0,0,0,0,0,0,0,0,0,0
9,20250901,臺北市,士林區,社新里,住宅,60,0,0,9,9,0,0,0,0,0,0,0
10,20250901,臺北市,中正區,文北里,住宅,51,0,0,3,3,0,0,0,0,0,0,0
11,20250901,臺北市,中正區,東門里,住宅,51,0,0,10,10,0,0,0,0,0,0,0
12,20250901,臺北市,士林區,社子里,住宅,60,1,0,6,6,0,1,1,2,1,17,5
13,20250901,臺北市,內湖區,葫洲里,住宅,110,1,0,5,5,0,1,1,1,1,20,5
14,20250901,臺北市,信義區,安康里,住宅,110,1,0,5,5,0,1,1,1,1,20,5
15,20250902,臺北市,士林區,福志里,住宅,60,0,0,2,2,0,0,0,0,0,0,0
16,20250902,臺北市,士林區,舊佳里,住宅,60,0,0,7,7,0,0,0,0,0,0,0
17,20250902,臺北市,士林區,菁山里,住宅,52,0,0,10,10,0,0,0,0,0,0,0
18,20250902,臺北市,大安區,學府里,菜園,1,1,0,6,6,0,1,1,100,8,17,5
19,20250902,臺北市,內湖區,紫星里,住宅,19,0,0,0,0,0,0,0,0,0,0,0
20,20250902,臺北市,大安區,德安里,菜園,1,0,0,2,2,0,0,0,0,0,0,0
21,20250902,臺北市,大安區,通安里,菜園,1,0,0,3,3,0,0,0,0,0,0,0
22,20250902,臺北市,大安區,住安里,菜園,1,0,0,3,3,0,0,0,0,0,0,0
23,20250902,臺北市,松山區,精忠里,公園,1,0,0,0,0,0,0,0,0,0,0,0
24,20250902,臺北市,內湖區,大湖里,住宅,104,2,0,14,14,0,2,2,2,1,14,4
25,20250902,臺北市,中山區,埤頭里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
26,20250902,臺北市,松山區,精忠里,住宅,50,0,0,12,12,0,0,0,0,0,0,0
27,20250902,臺北市,松山區,中華里,住宅,60,0,0,18,18,0,0,0,0,0,0,0
28,20250903,臺北市,內湖區,港都里,住宅,85,0,0,21,21,0,0,0,0,0,0,0
29,20250903,臺北市,松山區,東光里,住宅,53,0,0,24,24,0,0,0,0,0,0,0
30,20250903,臺北市,中山區,朱崙里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
31,20250903,臺北市,松山區,富錦里,住宅,103,0,0,13,13,0,0,0,0,0,0,0
32,20250903,臺北市,內湖區,明湖里,住宅,93,1,0,12,12,0,1,1,1,1,8,3
33,20250903,臺北市,大安區,錦安里,菜園,1,0,0,3,3,0,0,0,0,0,0,0
34,20250903,臺北市,大同區,揚雅里,住宅,57,0,0,0,0,0,0,0,0,0,0,0
35,20250903,臺北市,大同區,至聖里,住宅,58,0,0,3,3,0,0,0,0,0,0,0
36,20250903,臺北市,大安區,龍圖里,菜園,1,1,0,9,9,0,3,3,300,9,33,8
37,20250903,臺北市,大安區,龍門里,公園,1,1,0,16,16,0,6,6,600,9,38,8
38,20250903,臺北市,士林區,名山里,住宅,72,0,0,11,11,0,0,0,0,0,0,0
39,20250903,臺北市,士林區,忠誠里,住宅,72,0,0,0,0,0,0,0,0,0,0,0
40,20250903,臺北市,萬華區,頂碩里,住宅,56,0,0,33,33,0,0,0,0,0,0,0
41,20250903,臺北市,大安區,錦安里,菜園,1,0,0,9,9,0,0,0,0,0,0,0
