流水號,日期,縣市,區別,里別,調查種類,調查戶數,陽性戶數,調查積水容器數戶內,調查積水容器數戶外,調查積水容器數合計,陽性容器數戶內,陽性容器數戶外,陽性容器數合計,布氏指數,布氏級數,容器指數,容器級數
1,20250303,臺北市,松山區,莊敬里,住宅,1,0,0,0,0,0,0,0,0,0,0,0
2,20250303,臺北市,士林區,永倫里,住宅,55,0,0,7,7,0,0,0,0,0,0,0
3,20250303,臺北市,士林區,芝山里,住宅,60,0,0,1,1,0,0,0,0,0,0,0
4,20250303,臺北市,士林區,仁勇里,住宅,53,0,0,0,0,0,0,0,0,0,0,0
5,20250303,臺北市,士林區,義信里,住宅,51,0,0,8,8,0,0,0,0,0,0,0
6,20250303,臺北市,士林區,東山里,住宅,60,0,0,4,4,0,0,0,0,0,0,0
7,20250303,臺北市,士林區,社園里,住宅,60,0,0,11,11,0,0,0,0,0,0,0
8,20250304,臺北市,北投區,立農里,住宅,50,0,0,13,13,0,0,0,0,0,0,0
9,20250304,臺北市,北投區,立賢里,住宅,50,0,0,13,13,0,0,0,0,0,0,0
10,20250304,臺北市,內湖區,西湖里,住宅,117,2,0,15,15,0,2,2,2,1,13,4
11,20250304,臺北市,內湖區,內溝里,住宅,56,1,0,7,7,0,1,1,2,1,14,4
12,20250305,臺北市,中山區,新福里,住宅,70,0,0,16,16,0,0,0,0,0,0,0
13,20250305,臺北市,士林區,名山里,住宅,60,0,0,18,18,0,0,0,0,0,0,0
14,20250305,臺北市,文山區,樟樹里,住宅,62,0,0,14,14,0,0,0,0,0,0,0
15,20250305,臺北市,北投區,洲美里,住宅,50,0,0,14,14,0,0,0,0,0,0,0
16,20250305,臺北市,北投區,八仙里,住宅,50,0,0,7,7,0,0,0,0,0,0,0
17,20250305,臺北市,北投區,建民里,公園,1,0,0,0,0,0,0,0,0,0,0,0
18,20250305,臺北市,士林區,忠誠里,住宅,72,0,0,14,14,0,0,0,0,0,0,0
19,20250306,臺北市,士林區,福志里,住宅,54,0,0,8,8,0,0,0,0,0,0,0
20,20250306,臺北市,北投區,東華里,公園,1,0,0,0,0,0,0,0,0,0,0,0
21,20250306,臺北市,北投區,清江里,住宅,50,0,0,0,0,0,0,0,0,0,0,0
22,20250306,臺北市,北投區,奇岩里,住宅,50,0,0,3,3,0,0,0,0,0,0,0
23,20250306,臺北市,萬華區,和德里,住宅,50,0,0,89,89,0,0,0,0,0,0,0
24,20250306,臺北市,萬華區,錦德里,住宅,50,0,0,83,83,0,0,0,0,0,0,0
25,20250306,臺北市,士林區,承德里,住宅,72,0,0,5,5,0,0,0,0,0,0,0
26,20250306,臺北市,士林區,前港里,住宅,72,0,0,22,22,0,0,0,0,0,0,0
27,20250306,臺北市,士林區,舊佳里,住宅,60,0,0,9,9,0,0,0,0,0,0,0
28,20250306,臺北市,士林區,三玉里,住宅,60,0,0,20,20,0,0,0,0,0,0,0
29,20250306,臺北市,松山區,東光里,住宅,62,0,0,11,11,0,0,0,0,0,0,0
30,20250306,臺北市,士林區,天福里,住宅,60,0,0,22,22,0,0,0,0,0,0,0
31,20250307,臺北市,南港區,新富里,住宅,73,0,0,8,8,0,0,0,0,0,0,0
32,20250307,臺北市,大同區,建明里,住宅,54,0,0,0,0,0,0,0,0,0,0,0
33,20250307,臺北市,大同區,建泰里,住宅,51,1,14,8,22,1,0,1,2,1,5,2
34,20250307,臺北市,士林區,葫東里,住宅,60,0,0,25,25,0,0,0,0,0,0,0
35,20250307,臺北市,士林區,福順里,住宅,54,0,0,12,12,0,0,0,0,0,0,0
36,20250307,臺北市,北投區,中央里,住宅,50,0,0,8,8,0,0,0,0,0,0,0
37,20250307,臺北市,北投區,長安里,住宅,50,0,0,6,6,0,0,0,0,0,0,0
38,20250310,臺北市,士林區,社新里,住宅,60,0,0,11,11,0,0,0,0,0,0,0
39,20250310,臺北市,士林區,社子里,住宅,52,0,0,22,22,0,0,0,0,0,0,0
40,20250310,臺北市,中山區,正守里,住宅,70,0,0,4,4,0,0,0,0,0,0,0
41,20250310,臺北市,松山區,新聚里,住宅,60,0,0,4,4,0,0,0,0,0,0,0
42,20250311,臺北市,大同區,玉泉里,住宅,51,1,0,10,10,0,1,1,2,1,10,4
43,20250311,臺北市,大同區,永樂里,住宅,50,1,0,18,18,0,1,1,2,1,6,3
44,20250311,臺北市,中正區,黎明里,住宅,50,0,0,13,13,0,0,0,0,0,0,0
45,20250311,臺北市,萬華區,全德里,住宅,50,0,0,87,87,0,0,0,0,0,0,0
46,20250311,臺北市,萬華區,保德里,住宅,50,0,0,88,88,0,0,0,0,0,0,0
47,20250311,臺北市,中正區,建國里,住宅,50,0,0,0,0,0,0,0,0,0,0,0
48,20250311,臺北市,中正區,光復里,住宅,50,0,0,0,0,0,0,0,0,0,0,0
49,20250311,臺北市,中正區,梅花里,住宅,50,0,0,1,1,0,0,0,0,0,0,0
50,20250312,臺北市,中正區,文祥里,市場,1,0,0,2,2,0,0,0,0,0,0,0
51,20250312,臺北市,中正區,三愛里,市場,1,0,0,3,3,0,0,0,0,0,0,0
52,20250312,臺北市,大安區,龍泉里,空地,1,0,0,0,0,0,0,0,0,0,0,0
53,20250312,臺北市,大安區,龍泉里,空地,1,0,0,0,0,0,0,0,0,0,0,0
54,20250312,臺北市,大安區,古風里,住宅,1,0,1,0,1,0,0,0,0,0,0,0
55,20250312,臺北市,中正區,文祥里,市場,1,0,0,6,6,0,0,0,0,0,0,0
56,20250312,臺北市,文山區,明興里,住宅,116,0,0,38,38,0,0,0,0,0,0,0
57,20250312,臺北市,大同區,延平里,住宅,55,0,0,0,0,0,0,0,0,0,0,0
58,20250312,臺北市,大同區,大有里,住宅,59,0,0,0,0,0,0,0,0,0,0,0
59,20250312,臺北市,內湖區,瑞光里,住宅,124,5,0,13,13,0,5,5,4,1,38,8
60,20250312,臺北市,士林區,明勝里,住宅,72,0,0,14,14,0,0,0,0,0,0,0
61,20250312,臺北市,士林區,福華里,住宅,72,1,0,11,11,0,1,1,1,1,9,3
62,20250312,臺北市,中山區,北安里,住宅,70,2,0,11,11,0,2,2,3,1,18,5
63,20250313,臺北市,中山區,埤頭里,住宅,70,0,0,5,5,0,0,0,0,0,0,0
64,20250313,臺北市,大同區,建功里,住宅,50,0,0,7,7,0,0,0,0,0,0,0
65,20250313,臺北市,大同區,朝陽里,住宅,52,0,3,1,4,0,0,0,0,0,0,0
66,20250313,臺北市,中正區,廈安里,住宅,50,0,0,4,4,0,0,0,0,0,0,0
67,20250314,臺北市,信義區,惠安里,住宅,49,0,0,20,20,0,0,0,0,0,0,0
68,20250314,臺北市,內湖區,寶湖里,住宅,61,0,0,25,25,0,0,0,0,0,0,0
69,20250314,臺北市,士林區,臨溪里,住宅,51,0,0,9,9,0,0,0,0,0,0,0
