流水號,日期,縣市,區別,里別,調查種類,調查戶數,陽性戶數,調查積水容器數戶內,調查積水容器數戶外,調查積水容器數合計,陽性容器數戶內,陽性容器數戶外,陽性容器數合計,布氏指數,布氏級數,容器指數,容器級數
1,20250602,臺北市,大同區,隆和里,住宅,51,0,0,6,6,0,0,0,0,0,0,0
2,20250602,臺北市,中山區,中吉里,住宅,70,0,0,36,36,0,0,0,0,0,0,0
3,20250602,臺北市,內湖區,湖元里,住宅,42,0,0,7,7,0,0,0,0,0,0,0
4,20250602,臺北市,內湖區,湖興里,學校,1,0,0,0,0,0,0,0,0,0,0,0
5,20250602,臺北市,松山區,中正里,菜園,1,0,0,2,2,0,0,0,0,0,0,0
6,20250602,臺北市,松山區,三民里,住宅,75,0,0,22,22,0,0,0,0,0,0,0
7,20250602,臺北市,松山區,中正里,學校,1,0,0,6,6,0,0,0,0,0,0,0
8,20250602,臺北市,大安區,芳和里,學校,1,1,0,7,7,0,3,3,300,9,43,9
9,20250602,臺北市,松山區,中華里,菜園,1,1,0,42,42,0,1,1,100,8,2,1
10,20250602,臺北市,中正區,永昌里,菜園,1,0,0,3,3,0,0,0,0,0,0,0
11,20250602,臺北市,中正區,永昌里,菜園,1,0,0,1,1,0,0,0,0,0,0,0
12,20250602,臺北市,中正區,河堤里,菜園,1,0,0,1,1,0,0,0,0,0,0,0
13,20250602,臺北市,中正區,河堤里,菜園,1,0,0,2,2,0,0,0,0,0,0,0
14,20250602,臺北市,中正區,河堤里,機關,1,0,0,0,0,0,0,0,0,0,0,0
15,20250602,臺北市,大安區,學府里,學校,1,1,0,3,3,0,2,2,200,9,67,9
16,20250602,臺北市,大安區,芳和里,學校,1,1,0,7,7,0,2,2,200,9,29,7
17,20250602,臺北市,大同區,景星里,住宅,58,0,0,4,4,0,0,0,0,0,0,0
18,20250602,臺北市,北投區,中央里,菜園,1,1,0,63,63,0,10,10,1000,9,16,5
19,20250602,臺北市,士林區,岩山里,住宅,60,0,0,3,3,0,0,0,0,0,0,0
20,20250602,臺北市,士林區,聖山里,住宅,60,0,0,12,12,0,0,0,0,0,0,0
21,20250603,臺北市,萬華區,福星里,住宅,50,0,0,111,111,0,0,0,0,0,0,0
22,20250603,臺北市,士林區,陽明里,住宅,52,0,0,3,3,0,0,0,0,0,0,0
23,20250603,臺北市,士林區,新安里,住宅,51,0,0,15,15,0,0,0,0,0,0,0
24,20250603,臺北市,中正區,文北里,住宅,50,0,0,7,7,0,0,0,0,0,0,0
25,20250603,臺北市,北投區,豐年里,住宅,50,0,0,7,7,0,0,0,0,0,0,0
26,20250603,臺北市,大同區,老師里,住宅,58,3,0,10,10,0,3,3,5,2,30,7
27,20250603,臺北市,大同區,鄰江里,住宅,56,1,0,8,8,0,1,1,2,1,12,4
28,20250603,臺北市,中山區,劍潭里,住宅,70,2,0,37,37,0,2,2,3,1,5,2
29,20250603,臺北市,北投區,開明里,住宅,50,0,0,22,22,0,0,0,0,0,0,0
30,20250603,臺北市,北投區,泉源里,住宅,50,1,0,30,30,0,1,1,2,1,3,2
31,20250603,臺北市,中正區,東門里,住宅,50,0,0,6,6,0,0,0,0,0,0,0
32,20250604,臺北市,中正區,幸福里,住宅,50,0,1,8,9,0,0,0,0,0,0,0
33,20250604,臺北市,北投區,智仁里,住宅,50,0,0,11,11,0,0,0,0,0,0,0
34,20250604,臺北市,信義區,松隆里,住宅,118,0,0,41,41,0,0,0,0,0,0,0
35,20250604,臺北市,中山區,大佳里,住宅,70,2,0,39,39,0,2,2,3,1,5,2
36,20250604,臺北市,中正區,梅花里,住宅,50,0,0,22,22,0,0,0,0,0,0,0
37,20250604,臺北市,大同區,建功里,住宅,52,0,4,2,6,0,0,0,0,0,0,0
38,20250604,臺北市,大安區,福住里,學校,1,1,0,8,8,0,7,7,700,9,88,9
39,20250604,臺北市,大安區,龍淵里,學校,1,1,0,4,4,0,4,4,400,9,100,9
40,20250604,臺北市,大安區,龍安里,學校,1,1,0,4,4,0,3,3,300,9,75,9
