流水號,日期,縣市,區別,里別,調查種類,調查戶數,陽性戶數,調查積水容器數戶內,調查積水容器數戶外,調查積水容器數合計,陽性容器數戶內,陽性容器數戶外,陽性容器數合計,布氏指數,布氏級數,容器指數,容器級數
1,20250701,臺北市,大安區,龍門里,學校,1,1,0,14,14,0,5,5,500,9,36,8
2,20250701,臺北市,大安區,龍門里,學校,1,1,0,6,6,0,1,1,100,8,17,5
3,20250701,臺北市,大同區,南芳里,學校,0,0,0,0,0,0,0,0,0,0,0,0
4,20250701,臺北市,大同區,重慶里,學校,0,0,0,0,0,0,0,0,0,0,0,0
5,20250701,臺北市,大同區,重慶里,學校,0,0,1,3,4,0,0,0,0,0,0,0
6,20250701,臺北市,中正區,梅花里,學校,1,0,0,0,0,0,0,0,0,0,0,0
7,20250701,臺北市,大安區,龍生里,學校,1,1,0,3,3,0,1,1,100,8,33,8
8,20250701,臺北市,中正區,南門里,學校,1,0,0,1,1,0,0,0,0,0,0,0
9,20250701,臺北市,中正區,東門里,學校,1,0,0,3,3,0,0,0,0,0,0,0
10,20250701,臺北市,中正區,南門里,學校,1,0,0,3,3,0,0,0,0,0,0,0
11,20250701,臺北市,大安區,臥龍里,學校,1,1,0,2,2,0,1,1,100,8,50,9
12,20250701,臺北市,中正區,廈安里,住宅,50,0,0,6,6,0,0,0,0,0,0,0
13,20250701,臺北市,士林區,菁山里,住宅,50,0,0,6,6,0,0,0,0,0,0,0
14,20250701,臺北市,士林區,忠誠里,住宅,72,0,0,0,0,0,0,0,0,0,0,0
15,20250701,臺北市,士林區,名山里,住宅,72,1,0,2,2,0,1,1,1,1,50,9
16,20250701,臺北市,士林區,舊佳里,住宅,60,0,0,5,5,0,0,0,0,0,0,0
17,20250701,臺北市,士林區,福志里,住宅,60,0,0,11,11,0,0,0,0,0,0,0
18,20250702,臺北市,士林區,社子里,住宅,60,0,0,14,14,0,0,0,0,0,0,0
19,20250702,臺北市,松山區,東光里,學校,1,0,0,5,5,0,0,0,0,0,0,0
20,20250702,臺北市,松山區,東光里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
21,20250702,臺北市,信義區,安康里,學校,1,0,0,4,4,0,0,0,0,0,0,0
22,20250702,臺北市,信義區,安康里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
23,20250702,臺北市,士林區,名山里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
24,20250702,臺北市,士林區,岩山里,學校,1,0,0,0,0,0,0,0,0,0,0,0
25,20250702,臺北市,士林區,名山里,學校,1,0,0,0,0,0,0,0,0,0,0,0
26,20250702,臺北市,士林區,岩山里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
27,20250702,臺北市,中正區,永昌里,住宅,50,0,0,5,5,0,0,0,0,0,0,0
28,20250702,臺北市,中正區,富水里,住宅,50,0,0,3,3,0,0,0,0,0,0,0
29,20250702,臺北市,大安區,龍圖里,學校,1,1,0,13,13,0,2,2,200,9,15,5
30,20250702,臺北市,大安區,龍陣里,學校,1,1,0,6,6,0,5,5,500,9,83,9
31,20250702,臺北市,中正區,林興里,住宅,50,0,0,4,4,0,0,0,0,0,0,0
32,20250702,臺北市,士林區,社新里,住宅,60,0,0,14,14,0,0,0,0,0,0,0
33,20250702,臺北市,大同區,保安里,學校,0,0,0,0,0,0,0,0,0,0,0,0
34,20250702,臺北市,大安區,龍泉里,學校,1,0,0,1,1,0,0,0,0,0,0,0
35,20250702,臺北市,大安區,古莊里,學校,1,1,0,11,11,0,2,2,200,9,18,5
36,20250702,臺北市,松山區,莊敬里,住宅,58,0,0,18,18,0,0,0,0,0,0,0
37,20250702,臺北市,大同區,老師里,學校,0,0,0,0,0,0,0,0,0,0,0,0
38,20250702,臺北市,中山區,中央里,菜園,1,0,0,1,1,0,0,0,0,0,0,0
39,20250702,臺北市,中山區,中央里,學校,1,1,0,4,4,0,1,1,100,8,25,6
40,20250703,臺北市,大同區,國慶里,學校,0,0,3,4,7,0,0,0,0,0,0,0
41,20250703,臺北市,南港區,百福里,住宅,60,0,0,7,7,0,0,0,0,0,0,0
42,20250703,臺北市,中山區,力行里,菜園,1,0,0,1,1,0,0,0,0,0,0,0
43,20250703,臺北市,內湖區,麗山里,學校,1,0,0,0,0,0,0,0,0,0,0,0
44,20250703,臺北市,大同區,至聖里,學校,0,0,0,16,16,0,0,0,0,0,0,0
45,20250703,臺北市,中山區,力行里,學校,1,0,0,18,18,0,0,0,0,0,0,0
46,20250703,臺北市,萬華區,銘德里,住宅,50,0,0,99,99,0,0,0,0,0,0,0
47,20250703,臺北市,大安區,學府里,學校,1,0,0,2,2,0,0,0,0,0,0,0
48,20250703,臺北市,大安區,學府里,學校,1,0,0,4,4,0,0,0,0,0,0,0
49,20250703,臺北市,大安區,學府里,學校,1,1,1,13,14,0,4,4,400,9,29,7
50,20250703,臺北市,中正區,南門里,住宅,50,0,0,9,9,0,0,0,0,0,0,0
51,20250703,臺北市,大安區,學府里,學校,1,1,0,11,11,0,1,1,100,8,9,3
52,20250703,臺北市,中正區,愛國里,住宅,50,0,0,4,4,0,0,0,0,0,0,0
53,20250703,臺北市,文山區,木柵里,菜園,1,0,0,1,1,0,0,0,0,0,0,0
54,20250703,臺北市,文山區,木柵里,學校,1,0,0,8,8,0,0,0,0,0,0,0
55,20250703,臺北市,松山區,富錦里,住宅,83,0,0,4,4,0,0,0,0,0,0,0
56,20250703,臺北市,松山區,三民里,學校,1,0,0,5,5,0,0,0,0,0,0,0
57,20250703,臺北市,信義區,中行里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
58,20250703,臺北市,文山區,木柵里,學校,0,0,0,15,15,0,0,0,0,0,0,0
59,20250703,臺北市,信義區,中行里,學校,1,0,0,7,7,0,0,0,0,0,0,0
60,20250703,臺北市,文山區,木柵里,菜園,0,0,0,0,0,0,0,0,0,0,0,0
61,20250703,臺北市,信義區,安康里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
62,20250703,臺北市,信義區,中行里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
63,20250703,臺北市,松山區,三民里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
64,20250704,臺北市,士林區,福志里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
65,20250704,臺北市,士林區,福志里,學校,1,0,0,5,5,0,0,0,0,0,0,0
66,20250704,臺北市,士林區,福林里,學校,1,0,0,3,3,0,0,0,0,0,0,0
67,20250704,臺北市,士林區,福林里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
68,20250704,臺北市,信義區,雅祥里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
69,20250704,臺北市,信義區,雅祥里,學校,1,0,0,5,5,0,0,0,0,0,0,0
70,20250704,臺北市,信義區,雅祥里,菜園,0,0,0,0,0,0,0,0,0,0,0,0
71,20250704,臺北市,大安區,芳和里,學校,1,1,0,9,9,0,3,3,300,9,33,8
72,20250704,臺北市,士林區,永倫里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
73,20250704,臺北市,大安區,學府里,學校,1,1,0,8,8,0,2,2,200,9,25,6
74,20250704,臺北市,大安區,通安里,學校,1,0,0,2,2,0,0,0,0,0,0,0
75,20250704,臺北市,大安區,義安里,學校,1,0,0,1,1,0,0,0,0,0,0,0
76,20250704,臺北市,士林區,葫蘆里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
77,20250704,臺北市,士林區,翠山里,學校,1,0,0,0,0,0,0,0,0,0,0,0
78,20250704,臺北市,士林區,翠山里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
79,20250704,臺北市,士林區,葫蘆里,學校,1,0,0,6,6,0,0,0,0,0,0,0
80,20250704,臺北市,士林區,永倫里,學校,1,0,0,12,12,0,0,0,0,0,0,0
81,20250704,臺北市,大同區,隆和里,學校,0,0,0,0,0,0,0,0,0,0,0,0
82,20250704,臺北市,萬華區,榮德里,住宅,50,0,0,56,56,0,0,0,0,0,0,0
83,20250704,臺北市,萬華區,壽德里,住宅,50,0,0,75,75,0,0,0,0,0,0,0
84,20250704,臺北市,士林區,後港里,學校,1,1,0,29,29,0,1,1,100,8,3,2
85,20250704,臺北市,大同區,蓬萊里,學校,0,0,0,1,1,0,0,0,0,0,0,0
86,20250707,臺北市,文山區,景華里,學校,0,0,20,1,21,0,0,0,0,0,0,0
87,20250707,臺北市,中山區,新庄里,學校,1,0,0,10,10,0,0,0,0,0,0,0
88,20250707,臺北市,中山區,新庄里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
89,20250707,臺北市,文山區,景美里,學校,0,0,12,6,18,0,0,0,0,0,0,0
90,20250707,臺北市,大同區,隆和里,學校,0,0,0,1,1,0,0,0,0,0,0,0
91,20250707,臺北市,大同區,隆和里,學校,0,0,0,0,0,0,0,0,0,0,0,0
92,20250707,臺北市,中正區,忠勤里,住宅,50,0,0,6,6,0,0,0,0,0,0,0
93,20250707,臺北市,中正區,新營里,學校,1,0,0,2,2,0,0,0,0,0,0,0
94,20250707,臺北市,中正區,建國里,學校,1,0,0,14,14,0,0,0,0,0,0,0
95,20250707,臺北市,士林區,社園里,住宅,55,0,0,2,2,0,0,0,0,0,0,0
96,20250707,臺北市,士林區,永倫里,住宅,60,0,0,7,7,0,0,0,0,0,0,0
97,20250707,臺北市,士林區,東山里,住宅,60,0,0,15,15,0,0,0,0,0,0,0
98,20250707,臺北市,士林區,芝山里,住宅,60,0,0,10,10,0,0,0,0,0,0,0
99,20250707,臺北市,信義區,景新里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
100,20250707,臺北市,信義區,景新里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
101,20250707,臺北市,信義區,景新里,學校,1,0,0,4,4,0,0,0,0,0,0,0
102,20250707,臺北市,士林區,義信里,住宅,52,0,0,0,0,0,0,0,0,0,0,0
103,20250707,臺北市,士林區,仁勇里,住宅,56,0,0,7,7,0,0,0,0,0,0,0
104,20250707,臺北市,松山區,東榮里,住宅,63,0,0,4,4,0,0,0,0,0,0,0
105,20250708,臺北市,北投區,湖山里,住宅,50,0,0,12,12,0,0,0,0,0,0,0
106,20250708,臺北市,士林區,福德里,學校,1,0,0,22,22,0,0,0,0,0,0,0
107,20250708,臺北市,士林區,福德里,菜園,1,0,0,2,2,0,0,0,0,0,0,0
108,20250708,臺北市,北投區,湖田里,住宅,36,1,0,5,5,0,1,1,3,1,20,5
109,20250708,臺北市,士林區,福德里,學校,1,0,0,0,0,0,0,0,0,0,0,0
110,20250708,臺北市,士林區,福德里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
111,20250708,臺北市,信義區,新仁里,學校,1,0,0,1,1,0,0,0,0,0,0,0
112,20250708,臺北市,內湖區,南湖里,學校,1,0,0,11,11,0,0,0,0,0,0,0
113,20250708,臺北市,內湖區,紫陽里,學校,1,1,0,6,6,0,1,1,100,8,17,5
114,20250708,臺北市,信義區,新仁里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
115,20250708,臺北市,文山區,博嘉里,菜園,0,1,0,21,21,0,1,1,0,0,5,2
116,20250708,臺北市,信義區,新仁里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
117,20250708,臺北市,文山區,博嘉里,學校,0,0,4,27,31,0,0,0,0,0,0,0
118,20250708,臺北市,中正區,龍福里,住宅,50,0,0,9,9,0,0,0,0,0,0,0
119,20250708,臺北市,士林區,平等里,學校,1,0,0,2,2,0,0,0,0,0,0,0
120,20250708,臺北市,士林區,平等里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
121,20250708,臺北市,士林區,溪山里,學校,1,0,0,0,0,0,0,0,0,0,0,0
122,20250708,臺北市,士林區,溪山里,菜園,1,0,0,2,2,0,0,0,0,0,0,0
123,20250708,臺北市,士林區,福安里,菜園,1,0,0,6,6,0,0,0,0,0,0,0
124,20250708,臺北市,中正區,建國里,學校,1,0,0,0,0,0,0,0,0,0,0,0
125,20250708,臺北市,士林區,福安里,學校,1,0,0,0,0,0,0,0,0,0,0,0
126,20250708,臺北市,士林區,富洲里,學校,1,0,0,11,11,0,0,0,0,0,0,0
127,20250708,臺北市,士林區,富洲里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
128,20250708,臺北市,中正區,龍光里,學校,1,0,0,10,10,0,0,0,0,0,0,0
129,20250708,臺北市,中正區,板溪里,學校,1,0,0,1,1,0,0,0,0,0,0,0
130,20250708,臺北市,大安區,龍門里,學校,1,1,0,5,5,0,2,2,200,9,40,8
131,20250708,臺北市,中正區,建國里,學校,1,0,0,1,1,0,0,0,0,0,0,0
132,20250708,臺北市,中正區,螢雪里,住宅,50,0,0,2,2,0,0,0,0,0,0,0
133,20250708,臺北市,大安區,龍門里,學校,1,0,0,3,3,0,0,0,0,0,0,0
134,20250708,臺北市,大安區,龍生里,學校,1,0,0,1,1,0,0,0,0,0,0,0
135,20250708,臺北市,大安區,臥龍里,學校,1,0,0,3,3,0,0,0,0,0,0,0
136,20250708,臺北市,中山區,大直里,學校,1,0,0,7,7,0,0,0,0,0,0,0
137,20250708,臺北市,大同區,南芳里,學校,0,0,0,3,3,0,0,0,0,0,0,0
138,20250708,臺北市,中山區,集英里,學校,1,1,0,42,42,0,1,1,100,8,2,1
139,20250708,臺北市,萬華區,興德里,住宅,50,0,0,58,58,0,0,0,0,0,0,0
140,20250708,臺北市,萬華區,華中里,住宅,50,0,0,97,97,0,0,0,0,0,0,0
141,20250708,臺北市,北投區,中央里,其他,1,0,0,10,10,0,0,0,0,0,0,0
142,20250709,臺北市,北投區,大屯里,學校,1,0,0,0,0,0,0,0,0,0,0,0
143,20250709,臺北市,萬華區,新忠里,住宅,50,0,0,76,76,0,0,0,0,0,0,0
144,20250709,臺北市,北投區,大屯里,學校,1,0,0,0,0,0,0,0,0,0,0,0
145,20250709,臺北市,文山區,樟林里,學校,1,0,0,11,11,0,0,0,0,0,0,0
146,20250709,臺北市,南港區,西新里,住宅,112,1,0,11,11,0,1,1,1,1,9,3
147,20250709,臺北市,南港區,新光里,住宅,75,1,0,11,11,0,1,1,1,1,9,3
148,20250709,臺北市,文山區,樟林里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
149,20250709,臺北市,大安區,古莊里,學校,1,0,12,5,17,0,0,0,0,0,0,0
150,20250709,臺北市,中正區,文祥里,住宅,50,0,0,2,2,0,0,0,0,0,0,0
151,20250709,臺北市,中正區,新營里,住宅,50,0,0,2,2,0,0,0,0,0,0,0
152,20250709,臺北市,大安區,龍陣里,學校,1,0,0,0,0,0,0,0,0,0,0,0
153,20250709,臺北市,大安區,龍圖里,學校,1,1,0,6,6,0,1,1,100,8,17,5
154,20250709,臺北市,大安區,永康里,學校,1,0,0,0,0,0,0,0,0,0,0,0
155,20250709,臺北市,中正區,忠勤里,學校,1,0,0,2,2,0,0,0,0,0,0,0
156,20250709,臺北市,中正區,永功里,學校,1,0,0,5,5,0,0,0,0,0,0,0
157,20250709,臺北市,士林區,芝山里,學校,1,0,0,0,0,0,0,0,0,0,0,0
158,20250709,臺北市,士林區,三玉里,學校,1,0,0,4,4,0,0,0,0,0,0,0
159,20250709,臺北市,士林區,三玉里,菜園,1,0,0,2,2,0,0,0,0,0,0,0
160,20250709,臺北市,信義區,廣居里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
161,20250709,臺北市,信義區,廣居里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
162,20250709,臺北市,信義區,廣居里,學校,1,0,0,1,1,0,0,0,0,0,0,0
163,20250709,臺北市,北投區,大屯里,住宅,50,0,0,5,5,0,0,0,0,0,0,0
164,20250709,臺北市,北投區,大屯里,其他,1,0,0,9,9,0,0,0,0,0,0,0
165,20250709,臺北市,內湖區,金湖里,學校,1,0,0,0,0,0,0,0,0,0,0,0
166,20250710,臺北市,大同區,至聖里,學校,0,0,0,0,0,0,0,0,0,0,0,0
167,20250710,臺北市,北投區,湖田里,學校,1,0,0,0,0,0,0,0,0,0,0,0
168,20250710,臺北市,北投區,湖山里,學校,1,0,0,0,0,0,0,0,0,0,0,0
169,20250710,臺北市,北投區,湖山里,學校,1,0,0,0,0,0,0,0,0,0,0,0
170,20250710,臺北市,北投區,湖田里,學校,1,0,0,0,0,0,0,0,0,0,0,0
171,20250710,臺北市,士林區,蘭興里,菜園,1,0,0,2,2,0,0,0,0,0,0,0
172,20250710,臺北市,文山區,興福里,菜園,0,0,0,0,0,0,0,0,0,0,0,0
173,20250710,臺北市,信義區,三張里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
174,20250710,臺北市,信義區,三張里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
175,20250710,臺北市,信義區,三張里,學校,1,0,0,17,17,0,0,0,0,0,0,0
176,20250710,臺北市,士林區,前港里,住宅,72,0,0,7,7,0,0,0,0,0,0,0
177,20250710,臺北市,士林區,承德里,住宅,72,0,0,12,12,0,0,0,0,0,0,0
178,20250710,臺北市,中正區,螢雪里,其他,1,0,2,7,9,0,0,0,0,0,0,0
179,20250710,臺北市,中正區,林興里,學校,1,0,0,0,0,0,0,0,0,0,0,0
180,20250710,臺北市,大安區,學府里,學校,1,1,0,16,16,0,5,5,500,9,31,7
181,20250710,臺北市,大安區,學府里,學校,1,1,0,11,11,0,1,1,100,8,9,3
182,20250710,臺北市,文山區,興福里,學校,0,0,0,2,2,0,0,0,0,0,0,0
183,20250710,臺北市,文山區,政大里,學校,1,0,0,9,9,0,0,0,0,0,0,0
184,20250710,臺北市,文山區,政大里,菜園,1,0,0,4,4,0,0,0,0,0,0,0
185,20250710,臺北市,松山區,慈祐里,菜園,1,0,0,2,2,0,0,0,0,0,0,0
186,20250710,臺北市,大同區,星明里,學校,0,0,0,16,16,0,0,0,0,0,0,0
187,20250710,臺北市,文山區,興家里,住宅,54,0,0,14,14,0,0,0,0,0,0,0
188,20250710,臺北市,南港區,玉成里,住宅,56,0,0,6,6,0,0,0,0,0,0,0
189,20250710,臺北市,大同區,雙連里,住宅,60,0,0,4,4,0,0,0,0,0,0,0
190,20250710,臺北市,中山區,江山里,學校,1,0,0,0,0,0,0,0,0,0,0,0
191,20250710,臺北市,中山區,朱馥里,學校,1,0,1,0,1,0,0,0,0,0,0,0
192,20250710,臺北市,大同區,雙連里,學校,0,0,0,5,5,0,0,0,0,0,0,0
193,20250710,臺北市,士林區,蘭興里,學校,1,0,0,2,2,0,0,0,0,0,0,0
194,20250710,臺北市,士林區,德華里,學校,1,0,0,0,0,0,0,0,0,0,0,0
195,20250710,臺北市,士林區,德華里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
196,20250710,臺北市,萬華區,新和里,住宅,50,0,0,52,52,0,0,0,0,0,0,0
197,20250710,臺北市,松山區,鵬程里,住宅,61,0,0,15,15,0,0,0,0,0,0,0
198,20250710,臺北市,北投區,湖山里,其他,1,0,0,0,0,0,0,0,0,0,0,0
199,20250710,臺北市,北投區,湖田里,其他,1,0,0,0,0,0,0,0,0,0,0,0
200,20250710,臺北市,內湖區,西康里,學校,1,0,0,0,0,0,0,0,0,0,0,0
201,20250711,臺北市,內湖區,大湖里,學校,1,1,2,17,19,0,2,2,200,9,11,4
202,20250711,臺北市,中正區,文盛里,住宅,50,0,0,6,6,0,0,0,0,0,0,0
203,20250711,臺北市,內湖區,金瑞里,菜園,1,0,0,10,10,0,0,0,0,0,0,0
204,20250711,臺北市,內湖區,金瑞里,菜園,1,0,0,4,4,0,0,0,0,0,0,0
205,20250711,臺北市,內湖區,港都里,菜園,1,0,0,1,1,0,0,0,0,0,0,0
206,20250711,臺北市,萬華區,新安里,住宅,50,0,0,56,56,0,0,0,0,0,0,0
207,20250711,臺北市,中山區,興亞里,學校,1,0,0,0,0,0,0,0,0,0,0,0
208,20250711,臺北市,中山區,興亞里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
209,20250711,臺北市,大同區,星明里,學校,0,0,0,15,15,0,0,0,0,0,0,0
210,20250711,臺北市,南港區,合成里,住宅,50,2,0,13,13,0,2,2,4,1,15,5
211,20250711,臺北市,大同區,建泰里,學校,0,0,0,5,5,0,0,0,0,0,0,0
212,20250711,臺北市,中正區,富水里,學校,1,0,0,0,0,0,0,0,0,0,0,0
213,20250711,臺北市,中正區,河堤里,學校,1,0,0,7,7,0,0,0,0,0,0,0
214,20250711,臺北市,中正區,三愛里,住宅,50,0,0,10,10,0,0,0,0,0,0,0
215,20250711,臺北市,中正區,幸市里,住宅,50,0,0,10,10,0,0,0,0,0,0,0
216,20250711,臺北市,大安區,民炤里,學校,1,1,0,16,16,0,5,5,500,9,31,7
217,20250711,臺北市,大安區,學府里,學校,1,1,0,6,6,0,1,1,100,8,17,5
218,20250711,臺北市,大安區,芳和里,學校,1,1,0,18,18,0,1,1,100,8,6,3
219,20250711,臺北市,士林區,臨溪里,學校,1,0,0,0,0,0,0,0,0,0,0,0
220,20250711,臺北市,士林區,臨溪里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
221,20250711,臺北市,士林區,臨溪里,學校,1,0,0,2,2,0,0,0,0,0,0,0
222,20250711,臺北市,士林區,義信里,學校,1,0,0,0,0,0,0,0,0,0,0,0
223,20250711,臺北市,士林區,福中里,學校,1,0,0,7,7,0,0,0,0,0,0,0
224,20250711,臺北市,士林區,福中里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
225,20250711,臺北市,內湖區,蘆洲里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
226,20250711,臺北市,文山區,樟文里,學校,0,1,38,11,49,0,1,1,0,0,2,1
227,20250711,臺北市,內湖區,湖興里,菜園,1,0,0,7,7,0,0,0,0,0,0,0
228,20250711,臺北市,信義區,松隆里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
229,20250711,臺北市,信義區,松隆里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
230,20250711,臺北市,文山區,樟文里,菜園,0,0,0,2,2,0,0,0,0,0,0,0
231,20250711,臺北市,文山區,樟文里,菜園,0,0,0,2,2,0,0,0,0,0,0,0
232,20250711,臺北市,信義區,松隆里,學校,1,0,0,5,5,0,0,0,0,0,0,0
233,20250711,臺北市,信義區,惠安里,學校,50,1,0,50,50,0,2,2,4,1,4,2
234,20250711,臺北市,中正區,水源里,住宅,50,0,0,8,8,0,0,0,0,0,0,0
235,20250714,臺北市,北投區,泉源里,學校,1,0,0,0,0,0,0,0,0,0,0,0
236,20250714,臺北市,北投區,泉源里,學校,1,0,0,0,0,0,0,0,0,0,0,0
237,20250714,臺北市,北投區,泉源里,住宅,50,0,0,5,5,0,0,0,0,0,0,0
238,20250714,臺北市,信義區,惠安里,學校,1,0,0,6,6,0,0,0,0,0,0,0
239,20250714,臺北市,大同區,玉泉里,學校,0,0,1,5,6,0,0,0,0,0,0,0
240,20250714,臺北市,中正區,龍光里,學校,1,0,0,0,0,0,0,0,0,0,0,0
241,20250714,臺北市,中正區,東門里,學校,1,0,0,15,15,0,0,0,0,0,0,0
242,20250714,臺北市,中正區,幸福里,學校,1,0,0,10,10,0,0,0,0,0,0,0
243,20250714,臺北市,大同區,建泰里,學校,0,0,0,6,6,0,0,0,0,0,0,0
244,20250714,臺北市,中山區,下埤里,學校,1,0,0,8,8,0,0,0,0,0,0,0
245,20250714,臺北市,中山區,下埤里,菜園,1,0,0,3,3,0,0,0,0,0,0,0
246,20250714,臺北市,南港區,成福里,住宅,75,2,0,24,24,0,2,2,3,1,8,3
247,20250714,臺北市,士林區,明勝里,住宅,72,0,0,12,12,0,0,0,0,0,0,0
248,20250714,臺北市,北投區,秀山里,住宅,50,0,0,6,6,0,0,0,0,0,0,0
249,20250714,臺北市,士林區,福華里,住宅,72,0,0,17,17,0,0,0,0,0,0,0
250,20250715,臺北市,北投區,林泉里,其他,1,0,0,2,2,0,0,0,0,0,0,0
251,20250715,臺北市,士林區,明勝里,學校,1,0,0,0,0,0,0,0,0,0,0,0
252,20250715,臺北市,中正區,富水里,其他,1,0,0,2,2,0,0,0,0,0,0,0
253,20250715,臺北市,中正區,文盛里,其他,1,0,0,0,0,0,0,0,0,0,0,0
254,20250715,臺北市,中正區,文祥里,其他,1,0,0,2,2,0,0,0,0,0,0,0
255,20250715,臺北市,中正區,文祥里,其他,1,0,0,2,2,0,0,0,0,0,0,0
256,20250715,臺北市,士林區,明勝里,菜園,1,0,0,0,0,0,0,0,0,0,0,0
257,20250715,臺北市,中山區,金泰里,學校,1,0,5,11,16,0,0,0,0,0,0,0
258,20250715,臺北市,中山區,劍潭里,學校,1,0,8,0,8,0,0,0,0,0,0,0
259,20250715,臺北市,中山區,劍潭里,菜園,1,0,0,1,1,0,0,0,0,0,0,0
260,20250715,臺北市,文山區,指南里,住宅,6,0,0,9,9,0,0,0,0,0,0,0
261,20250715,臺北市,內湖區,金湖里,住宅,43,0,0,5,5,0,0,0,0,0,0,0
262,20250715,臺北市,大安區,建倫里,住宅,72,3,0,27,27,0,4,4,6,2,15,5
263,20250715,臺北市,大安區,臨江里,住宅,60,2,0,15,15,0,2,2,3,1,13,4
264,20250715,臺北市,大安區,昌隆里,住宅,60,2,0,8,8,0,2,2,3,1,25,6
265,20250715,臺北市,中正區,光復里,其他,1,0,0,0,0,0,0,0,0,0,0,0
